Net_Passengers,2019 Total Housing Units,2019 Total Daytime Population,2019 Unemployment Rate,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level,2019 Median Household Income,Household Density,Daytime_Population_Density,Shape Area sqmi,2014-2018 ACS HHs: Inc Below Poverty Level,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,primary_length,secondary_length,tertiary_length,walk_length,Undeveloped_Sq_Meters,Developed_OP_Sq_Meters,Developed_LI_Sq_Meters,Developed_MI_Sq_Meters,Developed_HI_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other
15,58,2120,18.5,1,15,23671,58,2120,1,15,31.25,0.002539036,0,0.003898335,0.004159403,574200,334800,324000,351900,419400,16527.8121,110057.9126,44211.82727
9,608,9915,6.8,1.3,118,31466,608,9915,1,118,26.28,0.001456443,0.001636896,0.002187013,0.001155599,569700,140400,343800,630000,324000,38922.46596,256539.9658,18952.33349
0,962,11797,6,1.1,188,31924,962,11797,1,188,27.69,0.001456443,0.001636896,0.002187013,0.000108934,566100,138600,302400,621000,382500,40558.85101,219198.0527,20175.66116
-1,1004,14734,6,1.1,191,32027,1004,14734,1,191,27.72,0.001456443,0.001636896,0.002187013,0.000108934,585900,116100,273600,591300,440100,43390.80724,223166.1795,32865.83398
0,1046,15928,5.8,1.1,192,33752,1046,15928,1,192,26.56,0.001456443,0.00141239,0.000639021,0.000108934,548100,73800,223200,620100,548100,57823.09226,203124.2203,63616.21445
0,1183,17911,5.8,1.1,192,33532,1183,17911,1,192,26.63,0.007374132,0.00141239,0.000639021,0.000108934,520200,87300,252000,597600,557100,55649.04255,194636.3488,63616.21445
0,1188,18149,5.7,1.1,197,33572,1188,18149,1,197,26.88,0.007374132,0.00141239,0.000639021,0.000108934,503100,97200,262800,590400,560700,53789.38984,203946.2322,63616.21445
1,1190,21187,5.5,1,209,32441,1190,21187,1,209,28.02,0.007374132,0.00141239,0.000639021,0.000108934,487800,112500,269100,579600,557100,51843.29957,211628.7817,68114.99404
0,1268,22326,5,1.1,226,32232,1268,22326,1,226,28.46,0.007374132,0.00141239,0.000639021,0.000108934,378000,98100,285300,621000,629100,47281.46265,257953.9221,64940.29291
520,1268,22326,5,1.1,226,32232,1268,22326,1,226,28.46,0.007374132,0.00141239,0.000639021,0.000108934,378000,98100,285300,621000,629100,47281.46265,257953.9221,64940.29291
458,1807,27195,6.5,0,449,25874,1807,27195,1,449,34.57,0.007374132,0.00141239,0.000639021,0.000108934,117000,81900,308700,717300,783000,50860.30196,308444.9925,74677.50723
639,1774,31490,6.6,0,444,25553,1774,31490,1,444,35.13,0.007374132,0.00141239,0.002113161,0.000108934,10800,53100,282600,716400,943200,55819.5418,416934.4394,74275.96096
240,1581,31031,6.7,0,404,24286,1581,31031,1,404,36.01,0.003194174,0.00141239,0.002113161,7.53E-05,9900,43200,267300,682200,1004400,69333.42112,421318.1473,77771.14224
11,1627,29632,7.9,0,509,16757,1627,29632,1,509,42.35,0.003194174,0.003388128,0.002502882,0.001013968,7200,22500,239400,632700,1103400,76568.13,409196.7797,69389.62103
930,1685,29090,8.2,0,542,15859,1685,29090,1,542,43.67,0.003194174,0.003388128,0.002502882,0.001013968,7200,21600,243900,639000,1103400,75617.02756,400978.1456,62473.92408
-34,1779,29185,8.3,0,588,15599,1779,29185,1,588,43.65,0.004167034,0.003388128,0.002502882,0.001013968,7200,21600,239400,599400,1141200,78322.94249,437681.3581,58934.26522
-1,1766,28354,8.3,0,584,15637,1766,28354,1,584,43.58,0.004167034,0.003388128,0.002502882,0.001013968,7200,20700,242100,574200,1167300,69445.54649,452820.1991,50595.15961
14,1543,21365,6.9,0,428,20757,1543,21365,1,428,37.78,0.004167034,0.003388128,0.001407704,0.001013968,7200,18000,222300,551700,1206900,66267.76889,456346.5755,49976.58274
158,1360,18779,5.8,0,302,28458,1360,18779,1,302,31.3,0.004167034,0.003388128,0.001407704,0.001013968,7200,11700,190800,593100,1210500,76150.67786,446837.3467,45271.20195
33,1006,14398,3.4,1.3,159,43564,1006,14398,1,159,19.56,0.004167034,0.003388128,0.001407704,0.001238184,5400,3600,162900,606600,1224900,63671.2976,449225.1289,50057.60872
19,1067,11227,3,1.3,159,44687,1067,11227,1,159,18.53,0.004167034,0.003388128,0.001407704,0.001238184,2700,10800,189900,570600,1230300,69402.8211,434079.5445,42931.88614
-1,832,10272,2.2,1.5,78,49784,832,10272,1,78,12.85,0.004167034,0.003388128,0.001407704,0.001238184,1800,18900,225900,579600,1188000,76179.27347,412761.2468,41169.65801
-21,771,5140,2.1,1.5,77,51159,771,5140,1,77,12.81,0.004167034,0.003388128,0.001407704,0.001238184,7200,20700,290700,660600,1030500,68635.22107,352050.7073,20037.69903
13,963,3931,2,1.3,143,42149,963,3931,1,143,19.22,0.004167034,0.003388128,0.001407704,0.001238184,12600,29700,366300,723600,879300,74632.28962,290314.0837,16844.76887
-2,953,3688,1.9,1.3,137,43116,953,3688,1,137,18.74,0.004167034,0.003388128,0.001407704,0.000595023,20700,46800,394200,755100,789300,74030.78119,282135.2195,16128.45801
0,957,3608,1.8,1.3,157,40148,957,3608,1,157,21.02,0.004167034,0.003388128,0.001407704,0.000595023,31500,72900,458100,735300,714600,73693.77342,240823.4589,12895.08351
-309,455,2147,1.4,1,123,22953,455,2147,1,123,32.98,0.00077547,0.005002595,0.004861977,0.000595023,65700,158400,605700,623700,558900,39774.29696,178508.3756,2129.628992
-180,355,1765,1.3,0.8,118,15686,355,1765,1,118,38.44,0.00077547,0.005002595,0.004861977,0.001301253,71100,168300,613800,605700,551700,25616.93858,162669.0259,3705.309476
0,261,1810,0.6,0.5,113,11848,261,1810,1,113,50,0.00077547,0.005002595,0.004861977,0.001301253,71100,176400,625500,625500,514800,17507.09386,164618.7927,22038.04862
43,261,1810,0.6,0.5,113,11848,261,1810,1,113,50,0.00077547,0.005002595,0.004861977,0.001301253,71100,176400,624600,627300,516600,18118.16015,164609.0526,22038.04862
0,443,2244,1.4,1.6,115,26196,443,2244,1,115,29.87,0.002026689,0.001942225,0.001586014,0.000691367,332100,665100,478800,348300,183600,45808.20322,103882.5496,12371.97098
0,443,2244,1.4,1.6,115,26196,443,2244,1,115,29.87,0.002026689,0.001942225,0.001586014,0.000691367,332100,665100,478800,348300,183600,45808.20322,103882.5496,12371.97098
0,355,603,17.3,1.2,79,17199,355,603,1,79,37.44,0,0,0.002124398,0,759600,575100,318600,59400,77400,57181.30421,3979.386711,1663.312241
0,355,603,17.3,1.2,79,17199,355,603,1,79,37.44,0,0,0.002124398,0,760500,572400,318600,62100,79200,57181.30421,3979.386711,1663.312241
0,1080,1222,2.1,1.5,131,46850,1080,1222,1,131,13.44,0,0,0.001613541,0.000419232,584100,717300,522000,165600,16200,106741.4523,45612.39991,3102.987222
119,1028,1191,2.1,1.5,124,46827,1028,1191,1,124,13.46,0,0,0.001613541,0.000419232,594900,718200,513900,164700,16200,104336.0214,44758.4556,3102.987222
15,1329,2789,2.1,1.5,151,48854,1329,2789,1,151,12.81,0.016145346,0,0.001613541,0.019875458,344700,775800,639900,197100,55800,138061.4714,61708.12038,4604.797145
2,1422,3155,2.2,1.5,156,49363,1422,3155,1,156,12.48,0.016145346,0.015109905,0.001613541,0.001342886,184500,751500,688500,246600,135000,150687.0873,93669.8313,11804.66492
0,1391,4307,2.2,1.5,153,50812,1391,4307,1,153,12.16,0.003839218,0.015109905,0.001613541,0.000669105,63900,701100,693900,336600,215100,147782.6827,129698.0668,17117.64563
49,1482,4826,2.1,1.5,151,50931,1482,4826,1,151,12.06,0.003839218,0.015109905,0.001613541,0.001678447,60300,639000,685800,386100,243900,139181.6539,141421.557,20962.28081
84,1388,4693,2.3,1.5,138,52355,1388,4693,1,138,13.5,0.003839218,0.00141239,0.001544658,0.000108934,389700,378000,535500,423900,285300,90424.57774,157179.0806,24682.11116
31,1226,4747,2,1.5,109,53608,1226,4747,1,109,11.27,0.003839218,0.015109905,0.001613541,0.000338441,346500,368100,552600,448200,298800,88077.65444,140480.6766,20321.72471
-18,1300,23907,6.3,0,311,22085,1300,23907,1,311,38.97,0.007374132,0.00141239,0.000639021,0.000108934,316800,124200,308700,612000,645300,42903.67472,252429.8521,64644.43899
-17,1502,25120,6.4,0,354,24218,1502,25120,1,354,36.38,0.007374132,0.00141239,0.000639021,0.000108934,314100,115200,306900,617400,651600,47808.7034,250749.9962,64940.29291
9,1280,25044,5.1,1.1,231,32123,1280,25044,1,231,28.66,0.007374132,0.00141239,0.000639021,0.000108934,315900,96300,293400,642600,662400,49385.25722,263221.2808,64940.29291
88,1807,27195,6.5,0,449,25874,1807,27195,1,449,34.57,0.007374132,0.00141239,0.000639021,0.000108934,117000,81900,308700,717300,783000,50860.30196,308444.9925,74677.50723
0,1774,31490,6.6,0,444,25553,1774,31490,1,444,35.13,0.007374132,0.00141239,0.002113161,0.000108934,10800,54900,290700,721800,936000,54900.26924,390022.5973,80244.82809
-9,1774,31490,6.6,0,444,25553,1774,31490,1,444,35.13,0.007374132,0.00141239,0.002113161,0.000108934,10800,53100,282600,716400,943200,55819.5418,416934.4394,74275.96096
0,1581,31031,6.7,0,404,24286,1581,31031,1,404,36.01,0.003194174,0.00141239,0.002113161,7.53E-05,9900,43200,267300,682200,1004400,69333.42112,421318.1473,77771.14224
